"","age","Year","LL","ML","LM"
"294","10",2001,1117.39454481432,1145.51623079614,1238.78935448316
"295","11",2001,1333.79481101137,1316.04340027662,1409.11724173189
"296","12",2001,1487.53392202651,1455.86535838612,1494.84628161258
"297","13",2001,1571.7862850354,1550.72279879968,1652.7891860324
"298","14",2001,1756.24721330309,1737.90909572765,1683.97222266106
"299","15",2001,1807.03908035188,1795.65288877694,1846.84444620928
"300","1",2002,16.8714324989895,17.9799432084527,17.4495540070503
"301","2",2002,93.2645972158153,92.2143281384369,85.5178521144748
"302","3",2002,247.986080177229,276.473325600259,203.36531731989
"303","4",2002,392.031538197305,398.323907678903,397.771060503404
"304","5",2002,519.176053047781,535.274310202147,531.931685144182
"305","6",2002,678.331127105106,691.276302618869,685.521761816969
"306","7",2002,765.054239353412,785.597474900776,836.604547170246
"307","8",2002,943.162597894688,949.244356647791,1014.28049421721
"308","9",2002,1026.97461335546,1043.58984848237,1145.46112730062
"309","10",2002,1115.12241342665,1171.6902665438,1251.9449515551
"310","11",2002,1119.26478274245,1146.05766499162,1378.08486565019
"311","12",2002,1382.68302747354,1385.42642553343,1478.81199023766
"312","13",2002,1560.09364983313,1575.24125550709,1633.60818816426
"313","14",2002,1714.64739171797,1695.87668571249,1696.06305254436
"314","15",2002,1855.33246823676,1826.39279406826,1857.52310761028
"315","1",2003,26.4946278525221,26.7049269388054,17.7842366430748
"316","2",2003,113.38773502218,132.741518469417,74.1947282417323
"317","3",2003,285.144507886994,320.459559997913,203.019691899959
"318","4",2003,463.409312798025,484.921135460745,397.242988216055
"319","5",2003,618.60907749104,623.704662564701,546.187567008993
"320","6",2003,732.706953487553,727.58522258884,696.771738178015
"321","7",2003,814.164958973619,802.999586373579,848.537950223183
"322","8",2003,968.127307895866,967.824755411258,1016.91777321893
"323","9",2003,1043.21222487723,1021.5730060592,1162.66702236542
"324","10",2003,1198.80981767401,1204.06534556196,1266.37488281053
"325","11",2003,1243.87208423801,1244.54022922532,1404.7206299997
"326","12",2003,1354.86059037462,1389.29290700187,1455.76495293145
"327","13",2003,1539.36602453826,1559.23399738685,1626.46538929702
"328","14",2003,1517.78851239036,1560.39121653322,1631.30862473083
"329","15",2003,1633.09925634753,1712.55881147673,1771.60245269057
"330","1",2004,22.7211902454371,22.3976994138166,18.283827111543
"331","2",2004,107.495582620704,119.090229619652,78.9073280623151
"332","3",2004,289.502576807091,287.184863535082,227.640869193098
"333","4",2004,428.674069125511,413.311013514506,423.213666632223
"334","5",2004,568.902742684555,580.007099794565,565.302486380112
"335","6",2004,689.05552547437,706.708695165313,705.436385568481
"336","7",2004,819.708546370327,846.194692725387,846.089207708843
"337","8",2004,927.673978083958,961.384991679526,997.211416513489
"338","9",2004,1039.18615836059,1045.12830961916,1149.52706113871
"339","10",2004,1143.86036135935,1139.3360852625,1271.9532401735
"340","11",2004,1203.43085988828,1208.17591045386,1406.55502435824
"341","12",2004,1289.6376439539,1301.6664686824,1466.32120798833
"342","13",2004,1445.94622114483,1448.33540353413,1624.74663938929
"343","14",2004,1726.02110539118,1688.71184629871,1694.22172028583
"344","15",2004,1661.20326442764,1672.95558733792,1824.72625241402
"345","1",2005,21.6618755523499,22.9343136014195,17.2412377746252
"346","2",2005,88.7549253560885,99.3086654160263,75.4815591762936
"347","3",2005,232.799965825764,225.640825066335,223.314331330281
"348","4",2005,399.025946824489,429.174044964669,399.570329736297
"349","5",2005,514.49681022661,519.800677422699,542.753348190411
"350","6",2005,630.027698866608,635.707033755601,676.226102503548
"351","7",2005,808.817320892389,802.10767861248,825.42276080927
"352","8",2005,939.640879057317,944.429779908075,975.34752359888
"353","9",2005,1016.26540022245,1033.48106270107,1123.5357323846
"354","10",2005,1093.76442464925,1108.18922971354,1216.6184349617
"355","11",2005,1354.52304478508,1364.38583237591,1376.79944749093
"356","12",2005,1289.52006877137,1302.16486775399,1443.94540038075
"357","13",2005,1292.92146949814,1312.16898199917,1589.09357246589
"358","14",2005,1461.78707131419,1459.06041772231,1659.99826976833
"359","15",2005,1566.66551779126,1577.10719289985,1813.97537117837
"360","1",2006,10.637072485363,13.4208540479792,15.8451648504375
"361","2",2006,86.7662073312307,88.2236133241293,82.498449123442
"362","3",2006,177.328418464223,175.043711230035,220.985824314058
"363","4",2006,442.916151540952,447.56732042616,394.835412496925
"364","5",2006,599.906483832864,619.257277576261,535.512111450794
"365","6",2006,698.364136902922,699.601198623326,678.947712437742
"366","7",2006,815.62287483135,831.590781323679,820.123402599435
"367","8",2006,891.435087648427,915.467915994766,959.932484880606
"368","9",2006,1041.38687084428,1115.25380424937,1086.86179011433
"369","10",2006,1160.05645054509,1206.50727785,1208.17586794861
"370","11",2006,1282.80373734011,1339.76027613051,1335.3050208083
"371","12",2006,1396.50319893129,1440.52944307564,1418.35505874592
"372","13",2006,1474.49311085751,1507.36457927272,1589.54106137529
"373","14",2006,1420.01803777543,1503.11913117695,1598.01400351065
"374","15",2006,1489.44021051674,1563.64689203878,1770.68106975827
"375","1",2007,13.6890341429933,14.9052957483157,17.4446233717457
"376","2",2007,101.821938786779,98.7809912299011,90.0305188479219
"377","3",2007,269.510575287276,245.260074918963,220.669519801862
"378","4",2007,499.229265279213,489.174626391711,390.316422127274
"379","5",2007,630.56400613835,662.030431639701,526.433809469536
"380","6",2007,796.626630778325,842.933667639344,681.921622481452
"381","7",2007,901.470273604114,943.75230954435,830.965869875154
"382","8",2007,1039.68765674107,1064.91544129443,968.950242765524
"383","9",2007,1145.86484113836,1227.58108959734,1097.6062723833
"384","10",2007,1415.44269565075,1485.7686365363,1204.3351867467
"385","11",2007,1369.46964935392,1475.49375229169,1325.21878819869
"386","12",2007,1427.99960395094,1520.78411542042,1383.79593581919
"387","13",2007,1719.02548445872,1797.03575119587,1550.96663556418
"388","14",2007,1637.08088273695,1756.67389523178,1586.51989033288
"389","15",2007,1663.2218253524,1830.56872844721,1706.67285981262
"390","1",2008,14.0144941906687,15.8710665346095,17.2201939387279
"391","2",2008,55.1830839249068,59.2448551855184,80.2353415245674
"392","3",2008,227.090147438163,217.182265054885,211.043815102986
"393","4",2008,457.375380638306,459.104325025271,382.457271436585
"394","5",2008,592.647046674112,632.371587137832,513.370973852915
"395","6",2008,724.397814681217,810.671086651384,661.769814907516
"396","7",2008,848.06819900843,921.877546792665,809.780742836659
"397","8",2008,1010.58287209594,1064.01632845524,958.549119498267
"398","9",2008,1054.61849971168,1196.20937083049,1077.57422714497
"399","10",2008,1203.56959477214,1333.45731246748,1178.42122359429
"400","11",2008,1544.93179687245,1646.97864430627,1305.85926203536
"401","12",2008,1513.26409456634,1638.50487311374,1374.2834329351
"402","13",2008,1736.83668524648,1841.54868525879,1550.05585343861
"403","14",2008,1838.80842654698,1941.21953182136,1591.33883843388
"404","15",2008,1907.61999044871,2026.82385719321,1742.85270776378
"405","1",2009,11.6405740637518,13.3611182584113,17.4076991783762
"406","2",2009,74.2615118873484,68.0393415283571,88.9021286714276
"407","3",2009,228.281049628771,186.878071947522,232.274881037215
"408","4",2009,492.272511527993,476.160317267377,401.798450353579
"409","5",2009,676.725307525132,674.306958862371,532.076691326685
"410","6",2009,787.197820060597,795.32832265696,670.956355470679
"411","7",2009,1001.55053276709,1060.6846397083,812.716384277334
"412","8",2009,1142.49111953594,1244.46381817961,962.735567359451
"413","9",2009,1168.93743161894,1349.16582511566,1073.81930338182
"414","10",2009,1458.44259099902,1670.29708703484,1179.12227208942
"415","11",2009,1573.29637058575,1718.40239612005,1308.44653515028
"416","12",2009,1749.71722067653,1925.54832997399,1363.15813747581
"417","13",2009,2064.02555736519,2265.68142538214,1540.49916548826
"418","14",2009,2255.91380343972,2432.68696220816,1572.45557910813
"419","15",2009,2284.23998685168,2510.50051172806,1735.48933274271
"420","1",2010,19.2962718714477,19.769942728412,17.711782461937
"421","2",2010,77.6375147373751,80.1557378684696,79.2923381083965
"422","3",2010,267.434902689997,254.863048946972,224.197014178825
"423","4",2010,511.394671600845,516.208224565436,390.205949624816
"424","5",2010,675.030234868582,695.228225629058,524.502784101946
"425","6",2010,874.108896507917,919.244862692192,663.838672897069
"426","7",2010,1089.81147666093,1139.43014788468,810.063565152856
"427","8",2010,1185.55516798963,1285.92408219749,952.699113989578
"428","9",2010,1244.4773907074,1380.21406436169,1068.18359664216
"429","10",2010,1354.71120132302,1520.24048196759,1180.23559605555
"430","11",2010,1468.31450108971,1669.23015608052,1293.24362238106
"431","12",2010,1663.74615772267,1853.2717148641,1361.40548213643
"432","13",2010,1871.91430627776,2046.32555982816,1525.1966741938
"433","14",2010,2190.20266234954,2319.37484561785,1589.18379735638
"434","15",2010,2350.64134301704,2505.29622732822,1752.11956177066
"435","1",2011,16.4207923244073,16.9120712134079,18.5605549639749
"436","2",2011,85.8342046927762,87.65491439214,81.6629814569705
"437","3",2011,219.851310700046,206.285013329105,230.74168153051
