"","type","age","year","data","SE"
"687","model",12,2004,1289.63764395391,49.6179818869085
"688","model",13,2004,1445.94622114482,64.2034321306024
"689","model",14,2004,1726.02110539118,91.5682098347842
"690","model",15,2004,1661.20326442765,94.6954939946692
"706","model",1,2005,21.6618755523499,1.36732671574981
"707","model",2,2005,88.7549253560871,6.04102509824383
"708","model",3,2005,232.799965825766,14.7152376267454
"709","model",4,2005,399.025946824485,19.1146616626463
"710","model",5,2005,514.496810226625,21.074628275855
"711","model",6,2005,630.027698866608,25.6733190839074
"712","model",7,2005,808.817320892395,32.8717601294181
"713","model",8,2005,939.640879057324,45.9578273511833
"714","model",9,2005,1016.26540022246,43.479904524022
"715","model",10,2005,1093.76442464925,53.2444505183379
"716","model",11,2005,1354.52304478508,81.7715227784757
"717","model",12,2005,1289.52006877135,60.3387261265612
"718","model",13,2005,1292.92146949815,54.1130354626273
"719","model",14,2005,1461.7870713142,77.3666014794429
"720","model",15,2005,1566.66551779127,65.5739888685629
"736","model",1,2006,10.637072485363,0.7172594505813
"737","model",2,2006,86.7662073312294,11.477429306639
"738","model",3,2006,177.328418464224,21.4585812987701
"739","model",4,2006,442.916151540952,20.8793389858755
"740","model",5,2006,599.906483832863,17.1037000686789
"741","model",6,2006,698.364136902932,15.711599540682
"742","model",7,2006,815.622874831348,16.7881746240509
"743","model",8,2006,891.43508764842,27.1439936499006
"744","model",9,2006,1041.38687084427,34.5549610346932
"745","model",10,2006,1160.05645054507,33.5922534079274
"746","model",11,2006,1282.80373734014,49.4275250927406
"747","model",12,2006,1396.50319893128,64.1107710636202
"748","model",13,2006,1474.49311085751,54.3456306600369
"749","model",14,2006,1420.01803777543,53.6422816166319
"750","model",15,2006,1489.44021051676,46.2316885901206
"766","model",1,2007,13.6890341429932,0.526770421450661
"767","model",2,2007,101.82193878678,10.6895229671771
"768","model",3,2007,269.510575287279,33.8309111779991
"769","model",4,2007,499.22926527923,32.4092260970969
"770","model",5,2007,630.564006138355,21.9005063156016
"771","model",6,2007,796.626630778327,20.4059221100273
"772","model",7,2007,901.470273604124,24.1241113525464
"773","model",8,2007,1039.68765674107,31.0131211172582
"774","model",9,2007,1145.86484113835,44.8255256183265
"775","model",10,2007,1415.44269565077,62.0630907873477
"776","model",11,2007,1369.46964935392,62.8973923225975
"777","model",12,2007,1427.99960395092,68.2876194952265
"778","model",13,2007,1719.02548445873,92.9256210398053
"779","model",14,2007,1637.08088273695,86.2294183187469
"780","model",15,2007,1663.22182535241,66.2995950416262
"796","model",1,2008,14.0144941906688,0.669033053473606
"797","model",2,2008,55.1830839249066,5.06248687519145
"798","model",3,2008,227.090147438165,33.5159142741626
"799","model",4,2008,457.375380638306,30.6905700433943
"800","model",5,2008,592.647046674106,22.2561159471498
"801","model",6,2008,724.39781468122,17.9945125054857
"802","model",7,2008,848.068199008425,21.9538645502094
"803","model",8,2008,1010.58287209594,29.1747716098142
"804","model",9,2008,1054.61849971168,36.5761965363069
"805","model",10,2008,1203.56959477217,57.191975036599
