"","Year","age","awwaa","awwaa_kg"
"278","1993",8,893.431505155433,0.893431505155433
"279","1994",8,1059.18575590107,1.05918575590107
"280","1995",8,917.469889917637,0.917469889917637
"281","1996",8,910.581403353538,0.910581403353538
"282","1997",8,889.388978183125,0.889388978183125
"283","1998",8,893.799171079514,0.893799171079514
"284","1999",8,896.499678142907,0.896499678142907
"285","2000",8,785.10502276612,0.78510502276612
"286","2001",8,883.20701548486,0.88320701548486
"287","2002",8,943.162597894688,0.943162597894688
"288","2003",8,968.127307895866,0.968127307895867
"289","2004",8,927.673978083958,0.927673978083958
"290","2005",8,939.640879057317,0.939640879057317
"291","2006",8,891.435087648427,0.891435087648427
"292","2007",8,1039.68765674107,1.03968765674107
"293","2008",8,1010.58287209594,1.01058287209594
"294","2009",8,1142.49111953594,1.14249111953594
"295","2010",8,1185.55516798963,1.18555516798963
"296","2011",8,1116.19277846363,1.11619277846363
"297","2012",8,1128.2503228571,1.1282503228571
"298","2013",8,1154.01654609714,1.15401654609714
"299","2014",8,1105.57729558431,1.10557729558431
"300","2015",8,904.983009227866,0.904983009227866
"301","2016",8,825.756811099456,0.825756811099456
"302","2017",8,811.442654056276,0.811442654056276
"303","2018",8,819.757644320504,0.819757644320504
"304","2019",8,924.198832385185,0.924198832385185
"305","1982",9,1457.03447878611,1.45703447878611
"306","1983",9,1478.44340056843,1.47844340056843
"307","1984",9,1511.81711487628,1.51181711487628
"308","1985",9,1681.73689720929,1.68173689720929
"309","1986",9,1264.01151083315,1.26401151083315
"310","1987",9,988.101540761801,0.988101540761801
"311","1988",9,907.539903850795,0.907539903850795
"312","1989",9,1084.77165915787,1.08477165915787
"313","1990",9,907.136977573181,0.907136977573181
"314","1991",9,987.371449960595,0.987371449960595
"315","1992",9,965.872048368847,0.965872048368847
"316","1993",9,1096.8196097238,1.0968196097238
"317","1994",9,1239.29279585521,1.23929279585521
"318","1995",9,1083.58576624345,1.08358576624345
"319","1996",9,1051.42289424868,1.05142289424868
"320","1997",9,1115.29013136787,1.11529013136787
"321","1998",9,1008.85991802434,1.00885991802434
"322","1999",9,1079.26955191092,1.07926955191092
"323","2000",9,941.652488745077,0.941652488745077
"324","2001",9,992.472249410927,0.992472249410927
"325","2002",9,1026.97461335546,1.02697461335546
"326","2003",9,1043.21222487723,1.04321222487723
"327","2004",9,1039.18615836059,1.03918615836059
"328","2005",9,1016.26540022245,1.01626540022245
"329","2006",9,1041.38687084428,1.04138687084428
"330","2007",9,1145.86484113836,1.14586484113836
"331","2008",9,1054.61849971168,1.05461849971168
"332","2009",9,1168.93743161894,1.16893743161894
"333","2010",9,1244.4773907074,1.2444773907074
"334","2011",9,1246.72894887399,1.24672894887399
"335","2012",9,1334.10962582583,1.33410962582583
"336","2013",9,1350.5663204153,1.3505663204153
"337","2014",9,1226.71156644903,1.22671156644903
"338","2015",9,1165.67065574839,1.16567065574839
"339","2016",9,903.339860656934,0.903339860656934
"340","2017",9,887.269826334098,0.887269826334098
"341","2018",9,893.827597905928,0.893827597905928
"342","2019",9,929.556823751999,0.929556823751999
"343","1982",10,1623.24153137857,1.62324153137857
"344","1983",10,1517.6092936341,1.5176092936341
"345","1984",10,1695.4114440954,1.6954114440954
"346","1985",10,1628.93176336559,1.62893176336559
"347","1986",10,1612.55466999297,1.61255466999297
"348","1987",10,1211.22284687902,1.21122284687902
"349","1988",10,1098.90878486851,1.09890878486851
"350","1989",10,1065.10621732625,1.06510621732625
"351","1990",10,1113.14705639147,1.11314705639147
"352","1991",10,1112.88252790238,1.11288252790238
"353","1992",10,1079.67692395813,1.07967692395813
"354","1993",10,1114.41931126728,1.11441931126728
"355","1994",10,1197.6367921799,1.1976367921799
"356","1995",10,1304.52072573344,1.30452072573344
"357","1996",10,1177.53865552943,1.17753865552943
"358","1997",10,1194.12613378911,1.19412613378911
"359","1998",10,1071.57813092211,1.07157813092211
"360","1999",10,1154.6415031744,1.15464150317441
"361","2000",10,1159.50799562798,1.15950799562798
"362","2001",10,1117.39454481432,1.11739454481432
"363","2002",10,1115.12241342665,1.11512241342665
"364","2003",10,1198.80981767401,1.19880981767401
"365","2004",10,1143.86036135935,1.14386036135935
"366","2005",10,1093.76442464925,1.09376442464925
"367","2006",10,1160.05645054509,1.16005645054509
"368","2007",10,1415.44269565075,1.41544269565075
"369","2008",10,1203.56959477214,1.20356959477214
"370","2009",10,1458.44259099902,1.45844259099902
"371","2010",10,1354.71120132302,1.35471120132302
"372","2011",10,1292.9016666321,1.2929016666321
"373","2012",10,1401.42705217799,1.40142705217799
"374","2013",10,1376.60277793425,1.37660277793425
"375","2014",10,1377.2273279392,1.3772273279392
"376","2015",10,1202.69803986529,1.20269803986529
"377","2016",10,1003.49866920668,1.00349866920668
"378","2017",10,909.799185443766,0.909799185443766
"379","2018",10,929.798774152854,0.929798774152854
"380","2019",10,1012.81127985785,1.01281127985785
"381","1982",11,1783.54497981344,1.78354497981344
"382","1983",11,1620.25163799477,1.62025163799477
"383","1984",11,1947.92558614118,1.94792558614118
"384","1985",11,1742.52126734506,1.74252126734506
"385","1986",11,1671.30021645809,1.67130021645809
"386","1987",11,1512.25424102054,1.51225424102054
"387","1988",11,1374.37923731528,1.37437923731528
"388","1989",11,1208.584487311,1.208584487311
"389","1990",11,1289.0584968948,1.2890584968948
"390","1991",11,1370.0673416044,1.3700673416044
"391","1992",11,1253.81279801903,1.25381279801903
"392","1993",11,1326.3135835791,1.3263135835791
"393","1994",11,1334.10409327186,1.33410409327186
